"","ligand","receptor"
"812","Gdnf","Ret"
"813","Gh","Ghr"
"815","Gh","Ghr"
"816","Ghrh","Ghrhr"
"817","Ghrh","Vipr1"
"818","Ghrl","Ghrhr"
"819","Ghrl","Ghsr"
"820","Ghrl","Gpr39"
"822","Gip","Dpp4"
"823","Gip","Gipr"
"824","Gnai2","Adcy1"
"825","Gnai2","Adora1"
"826","Gnai2","Adra2a"
"827","Gnai2","Adra2b"
"828","Gnai2","Agtr2"
"829","Gnai2","C5ar1"
"830","Gnai2","Cav1"
"831","Gnai2","Ccr5"
"832","Gnai2","Chrm1"
"833","Gnai2","Cnr1"
"834","Gnai2","Cxcr1"
"835","Gnai2","Cxcr2"
"836","Gnai2","Drd2"
"837","Gnai2","Ednra"
"838","Gnai2","Egfr"
"839","Gnai2","F2r"
"840","Gnai2","Fpr1"
"841","Gnai2","Igf1r"
"842","Gnai2","Lhcgr"
"843","Gnai2","Lpar3"
"844","Gnai2","Mtnr1a"
"845","Gnai2","Mtnr1b"
"846","Gnai2","Oprd1"
"847","Gnai2","Oprm1"
"848","Gnai2","P2ry12"
"849","Gnai2","Ptpru"
"850","Gnai2","Tbxa2r"
"851","Gnai2","Tshr"
"852","Gnas","Adora1"
"853","Gnas","Adrb3"
"854","Gnas","Avpr2"
"855","Gnas","Crhr1"
"856","Gnas","Gcgr"
"857","Gnas","Htr6"
"858","Gnas","Lhcgr"
"859","Gnas","Ptgdr"
"860","Gnas","Ptgir"
"861","Gnas","Tshr"
"862","Gnas","Vipr1"
"863","Gnb3","Tgfbr1"
"864","Gnrh1","Gnrhr"
"866","Gpc3","Cd81"
"867","Gpc3","Igf1r"
"868","Gpha2","Tshr"
"869","Gpi1","Amfr"
"870","Grp","Brs3"
"871","Grp","Grpr"
"872","Grp","Nmbr"
"873","Gstp1","Traf2"
"874","Guca2a","Gucy2c"
"875","Guca2b","Gucy2c"
"876","Guca2b","Gucy2e"
"877","Gzmc","Chrm3"
"878","Gzmc","Igf2r"
"879","Has2","Cd44"
"880","Has2","Hmmr"
"881","Hbegf","Cd44"
"882","Hbegf","Cd82"
"883","Hbegf","Cd9"
"884","Hbegf","Egfr"
"885","Hbegf","Erbb2"
"886","Hbegf","Erbb4"
"887","Hcrt","Hcrtr1"
"888","Hcrt","Hcrtr2"
"889","Hcrt","Npffr2"
"891","Hgf","Cd44"
"892","Hgf","Met"
"893","Hgf","Sdc1"
"894","Hgf","Sdc2"
"895","Hgf","St14"
"896","H2-Q5","Aplp2"
"897","H2-Q5","Erbb2"
"898","H2-Q5","Kir3dl1"
"899","H2-Q5","Kir3dl1"
"900","H2-Q5","Pira2"
"901","H2-Q5","Pira2"
"902","H2-Q5","Canx"
"903","H2-Q5","Kir3dl1"
"904","H2-Q5","Klrd1"
"905","H2-Q5","Pira2"
"906","H2-Q5","Pira2"
"907","H2-Q5","Kir3dl1"
"908","H2-Q5","Kir3dl1"
"909","H2-Q5","Kir3dl1"
"911","H2-Q5","Pira2"
"912","H2-Q5","Pira2"
"913","H2-T24","Clec2m"
"914","H2-T24","Clec2m"
"915","H2-T24","Klrd1"
"916","H2-Q5","Kir3dl1"
"917","H2-Q5","Clec2m"
"918","H2-Q5","Klrd1"
"919","H2-Q5","Pira2"
"920","H2-Q5","Pira2"
"924","Hp","Itgb2"
"925","Hras","Agtr1b"
"926","Hras","Cav1"
"927","Hras","Grin2d"
"928","Hras","Insr"
"929","Hras","Tlr2"
"930","Hras","Tlr9"
"931","Hrg","Fcgr1"
"932","Hsp90aa1","Cftr"
"933","Hsp90aa1","Egfr"
"934","Hsp90aa1","Fgfr3"
"935","Hspg2","Col13a1"
"936","Hspg2","Itga2"
"937","Hspg2","Itgb1"
"938","Hspg2","Ptprs"
"939","Iapp","Calcr"
"940","Iapp","Ramp1"
"941","Iapp","Ramp2"
"942","Icam1","Egfr"
"943","Icam1","Il2ra"
"944","Icam1","Il2rg"
"945","Icam1","Itgal"
"947","Icam1","Itgax"
"948","Icam1","Itgb2"
"949","Icam2","Itgal"
"951","Icam2","Itgb2"
"956","Icam4","Itga2b"
"957","Icam4","Itga4"
"958","Icam4","Itgal"
"960","Icam4","Itgav"
"961","Icam4","Itgb1"
"962","Icam4","Itgb2"
"963","Icam4","Itgb3"
"964","Icam4","Rhag"
"965","Icam5","Itgal"
"966","Icam5","Itgb2"
"967","Ifna14","Ifnar1"
"968","Ifna14","Ifnar2"
"969","Ifna14","Ifnar1"
"970","Ifna14","Ifnar2"
"971","Ifna14","Ifnar1"
"972","Ifna14","Ifnar2"
"973","Ifna14","Ifnar1"
"974","Ifna14","Ifnar2"
"975","Ifna14","Ifnar1"
"976","Ifna14","Ifnar2"
"977","Ifna14","Ifnar1"
"978","Ifna14","Ifnar2"
"979","Ifna14","Ifnar1"
"980","Ifna14","Ifnar2"
"981","Ifna14","Ifnar1"
"982","Ifna14","Ifnar2"
"983","Ifna14","Ifnar1"
"984","Ifna14","Ifnar2"
"985","Ifna14","Ifnar1"
"986","Ifna14","Ifnar2"
"987","Ifna14","Ifnar1"
"988","Ifna14","Ifnar2"
"989","Ifna14","Ifnar1"
"990","Ifna14","Ifnar2"
"991","Ifna14","Ifnar1"
"992","Ifna14","Ifnar2"
"993","Ifnb1","Ifnar1"
"994","Ifnb1","Ifnar2"
"995","Ifng","Ifngr1"
"996","Ifng","Ifngr2"
"999","Ifnl2","Ifnlr1"
"1001","Ifnl2","Ifnlr1"
"1005","Igf1","Igf1r"
"1006","Igf2","Igf1r"
"1007","Igf2","Igf2r"
"1008","Igf2","Insr"
"1009","Igfbp4","Fzd8"
"1010","Igfbp4","Lrp6"
"1013","Igfl3","Igflr1"
"1014","Ihh","Boc"
"1015","Ihh","Cdon"
"1016","Ihh","Hhip"
"1017","Ihh","Ptch1"
"1018","Ihh","Ptch2"
"1019","Il10","Il10ra"
"1021","Il11","Il11ra1"
"1022","Il11","Il6st"
"1023","Il12a","Cd28"
"1024","Il12a","Il12rb1"
"1025","Il12a","Il12rb2"
"1029","Il13","Il13ra1"
"1030","Il13","Il13ra2"
"1031","Il13","Il2rg"
"1032","Il13","Il4ra"
"1033","Il15","Il15ra"
"1034","Il15","Il2ra"
"1035","Il15","Il2rb"
"1036","Il15","Il2rg"
"1037","Il16","Cd4"
"1038","Il16","Grin2c"
"1039","Il16","Grin2d"
"1040","Il16","Kcna3"
"1041","Il16","Kcnd1"
"1042","Il16","Kcnd2"
"1043","Il16","Kcnj10"
"1044","Il16","Kcnj15"
"1045","Il16","Kcnj4"
"1046","Il17a","Il17ra"
"1047","Il17a","Il17rc"
"1048","Il17b","Il17rb"
"1049","Il17f","Il17ra"
"1050","Il18","Il18r1"
"1051","Il18","Il18rap"
"1052","Il18","Il1rapl1"
"1053","Il18","Il1rl2"
"1054","Il19","Il20ra"
"1055","Il19","Il20rb"
"1056","Il1a","Il1r1"
"1057","Il1a","Il1r2"
"1058","Il1a","Il1rap"
"1059","Il1b","Adrb2"
"1060","Il1b","Il1r1"
"1061","Il1b","Il1r2"
"1062","Il1b","Il1rap"
"1063","Il1f10","Il1r1"
"1064","Il1rn","Il1r1"
"1065","Il1rn","Il1r2"
"1066","Il20","Il20ra"
"1067","Il20","Il20rb"
"1068","Il20","Il22ra1"
"1069","Il21","Il21r"
"1070","Il21","Il2rg"
"1071","Il22","Il10ra"
"1073","Il22","Il22ra1"
"1074","Il22","Il22ra2"
"1075","Il23a","Il12rb1"
"1076","Il23a","Il23r"
"1077","Il24","Il20ra"
"1078","Il24","Il20rb"
"1079","Il24","Il22ra1"
"1080","Il25","Il17rb"
"1081","Il27","Il27ra"
"1082","Il2","Cd53"
"1083","Il2","Il2ra"
"1084","Il2","Il2rb"
"1085","Il2","Il2rg"
"1086","Il2","Ngfr"
"1087","Il31","Il31ra"
"1088","Il31","Osmr"
"1089","Il34","Csf1r"
"1090","Il3","Csf2rb2"
"1092","Il4","Cd53"
"1093","Il4","Il13ra1"
"1094","Il4","Il13ra2"
"1095","Il4","Il2rg"
"1096","Il4","Il4ra"
"1097","Il5","Csf2rb2"
"1098","Il5","Il5ra"
"1099","Il6","Il6ra"
"1100","Il6","Il6st"
"1101","Il7","Il2rg"
"1102","Il7","Il7r"
"1108","Il9","Il2rg"
"1109","Il9","Il9r"
"1110","Inha","Acvr2a"
"1111","Inha","Tgfbr3"
"1112","Inhba","Acvr1"
"1113","Inhba","Acvr1b"
"1114","Inhba","Acvr2a"
"1115","Inhba","Acvr2b"
"1116","Inhba","Bambi"
"1117","Inhba","Eng"
"1118","Inhba","Tgfbr3"
"1119","Inhbb","Acvr1"
"1120","Inhbb","Acvr1b"
"1121","Inhbb","Acvr1c"
"1122","Inhbb","Acvr2a"
"1123","Inhbb","Acvr2b"
"1124","Inhbc","Acvr1"
"1125","Inhbc","Acvr1b"
"1126","Inhbc","Acvr2a"
"1127","Inhbc","Acvr2b"
"1130","Insl5","Rxfp4"
"1131","Ins2","Igf1r"
"1132","Ins2","Insr"
"1133","Ins2","Lrp2"
"1134","Itgb3bp","Itgb3"
"1135","Itgb3bp","Itgb5"
"1136","Itih2","Fcer1a"
"1137","Jag1","Notch1"
"1138","Jag1","Notch2"
"1139","Jag1","Notch3"
"1141","Jag2","Notch1"
"1142","Jag2","Notch2"
"1143","Jag2","Notch3"
"1148","Kitl","Epor"
"1149","Kitl","Kit"
"1151","Kng2","Bdkrb1"
"1152","Kng2","Bdkrb2"
"1153","Kng2","Cd93"
"1154","Kng2","Gp1ba"
"1155","Kng2","Gpr135"
"1156","Kng2","Itgb2"
"1157","Kng2","Plaur"
"1158","Kng2","Rxfp4"
"1159","2300003K06Rik","Aqp1"
"1160","2300003K06Rik","Catsper1"
"1161","2300003K06Rik","Cldn2"
"1162","2300003K06Rik","Cntfr"
"1163","2300003K06Rik","Lingo1"
"1164","2300003K06Rik","Pdgfrb"
"1165","2300003K06Rik","Plscr4"
"1166","L1cam","Cntn1"
"1167","L1cam","Egfr"
"1168","L1cam","Erbb2"
"1169","L1cam","Erbb3"
"1170","L1cam","Itga5"
"1171","L1cam","Itgav"
"1173","Lama1","Itga1"
"1174","Lama1","Itga2"
"1175","Lama1","Itga7"
"1176","Lama1","Itgb1"
"1177","Lama1","Itgb8"
"1178","Lama1","Nt5e"
"1180","Lama1","Tmprss6"
"1181","Lama2","Itga7"
"1182","Lama2","Itgb1"
"1184","Lama3","Sdc2"
"1185","Lama5","Bcam"
"1186","Lamb1","Itga6"
"1187","Lamb1","Itgb1"
"1189","Lamc2","Itga3"
"1190","Lamc2","Itga6"
"1191","Lamc2","Itgb1"
"1192","Lamc2","Itgb4"
"1194","Lcn2","Lrp2"
"1195","Lefty2","Acvr2b"
"1196","Lep","Lepr"
"1197","Lgals3bp","Itgb1"
"1199","Lif","Il6st"
"1200","Lif","Lifr"
"1201","Lin7c","Abca1"
"1202","Lin7c","Htr2c"
"1203","Lipc","Lrp1"
"1204","Liph","Lpar1"
"1205","Liph","Lpar2"
"1206","Liph","Lpar4"
"1208","Lpl","Gpihbp1"
"1209","Lpl","Lrp1"
"1210","Lpl","Lrp2"
"1211","Lpl","Sdc1"
"1212","Lpl","Vldlr"
"1213","Lrp1b","Plaur"
"1214","Lrpap1","Ldlr"
"1215","Lrpap1","Lrp1"
"1216","Lrpap1","Lrp2"
"1217","Lrpap1","Lrp8"
"1218","Lrpap1","Sorl1"
"1219","Lrpap1","Sort1"
"1220","Lrpap1","Vldlr"
"1221","Lta","Ltbr"
"1222","Lta","Tnfrsf14"
"1223","Lta","Tnfrsf1a"
"1224","Lta","Tnfrsf1b"
"1225","Ltbp1","Itgb5"
"1226","Ltbp3","Itgb5"
"1227","Ltb","Cd40"
"1228","Ltb","Ltbr"
"1229","Ltb","Tnfrsf1a"
"1230","Ltf","Lrp1"
"1231","Ltf","Lrp11"
"1232","Ly86","Cd180"
"1233","Madcam1","Cd44"
"1234","Madcam1","Itga4"
"1235","Madcam1","Itgb7"
