"","cell","cluster"
"GK5a.M2.2_130","GK5a.M2.2_130",5
"GK5a.M2.2_131","GK5a.M2.2_131",11
"GK5a.M2.2_132","GK5a.M2.2_132",5
"GK5a.M2.2_133","GK5a.M2.2_133",6
"GK5a.M2.2_134","GK5a.M2.2_134",3
"GK5a.M2.2_136","GK5a.M2.2_136",5
"GK5a.M2.2_137","GK5a.M2.2_137",2
"GK5a.M2.2_138","GK5a.M2.2_138",8
"GK5a.M2.2_139","GK5a.M2.2_139",3
"GK5a.M2.2_141","GK5a.M2.2_141",1
"GK5a.M2.2_142","GK5a.M2.2_142",12
"GK5a.M2.2_143","GK5a.M2.2_143",5
"GK5a.M2.2_144","GK5a.M2.2_144",1
"GK5a.M2.2_146","GK5a.M2.2_146",20
"GK5a.M2.2_147","GK5a.M2.2_147",6
"GK5a.M2.2_152","GK5a.M2.2_152",14
"GK5a.M2.2_153","GK5a.M2.2_153",3
"GK5a.M2.2_154","GK5a.M2.2_154",14
"GK5a.M2.2_159","GK5a.M2.2_159",2
"GK5a.M2.2_160","GK5a.M2.2_160",1
"GK5a.M2.2_161","GK5a.M2.2_161",4
"GK5a.M2.2_163","GK5a.M2.2_163",1
"GK5a.M2.2_164","GK5a.M2.2_164",5
"GK5a.M2.2_166","GK5a.M2.2_166",6
"GK5a.M2.2_167","GK5a.M2.2_167",1
"GK5a.M2.2_172","GK5a.M2.2_172",5
"GK5a.M2.2_173","GK5a.M2.2_173",4
"GK5a.M2.2_177","GK5a.M2.2_177",5
"GK5a.M2.2_179","GK5a.M2.2_179",6
"GK5a.M2.2_180","GK5a.M2.2_180",1
"GK5a.M2.2_181","GK5a.M2.2_181",2
"GK5a.M2.2_184","GK5a.M2.2_184",6
"GK5a.M2.2_185","GK5a.M2.2_185",1
"GK5a.M2.2_190","GK5a.M2.2_190",1
"GK5a.M2.2_193","GK5a.M2.2_193",1
"GK5a.M2.2_195","GK5a.M2.2_195",6
"GK5a.M2.2_196","GK5a.M2.2_196",1
"GK5a.M2.2_197","GK5a.M2.2_197",5
"GK5a.M2.2_198","GK5a.M2.2_198",2
"GK5a.M2.2_200","GK5a.M2.2_200",1
"GK5a.M2.2_203","GK5a.M2.2_203",7
"GK5a.M2.2_206","GK5a.M2.2_206",5
"GK5a.M2.2_207","GK5a.M2.2_207",5
"GK5a.M2.2_208","GK5a.M2.2_208",5
"GK5a.M2.2_211","GK5a.M2.2_211",5
"GK5a.M2.2_215","GK5a.M2.2_215",1
"GK5a.M2.2_219","GK5a.M2.2_219",1
"GK5a.M2.2_221","GK5a.M2.2_221",1
"GK5a.M2.2_222","GK5a.M2.2_222",1
"GK5a.M2.2_225","GK5a.M2.2_225",1
"GK5a.M2.2_226","GK5a.M2.2_226",18
"GK5a.M2.2_227","GK5a.M2.2_227",1
"GK5a.M2.2_228","GK5a.M2.2_228",1
"GK5a.M2.2_229","GK5a.M2.2_229",1
"GK5a.M2.2_232","GK5a.M2.2_232",1
"GK5a.M2.2_234","GK5a.M2.2_234",6
"GK5a.M2.2_235","GK5a.M2.2_235",4
"GK5a.M2.2_239","GK5a.M2.2_239",6
"GK5a.M2.2_240","GK5a.M2.2_240",1
"GK5a.M2.2_242","GK5a.M2.2_242",6
"GK5a.M2.2_243","GK5a.M2.2_243",3
"GK5a.M2.2_247","GK5a.M2.2_247",8
"GK5a.M2.2_251","GK5a.M2.2_251",14
"GK5a.M2.2_252","GK5a.M2.2_252",5
"GK5a.M2.2_253","GK5a.M2.2_253",6
"GK5a.M2.2_258","GK5a.M2.2_258",1
"GK5a.M2.2_260","GK5a.M2.2_260",1
"GK5a.M2.2_261","GK5a.M2.2_261",2
"GK5a.M2.2_262","GK5a.M2.2_262",18
"GK5a.M2.2_263","GK5a.M2.2_263",1
"GK5a.M2.2_267","GK5a.M2.2_267",5
"GK5a.M2.2_271","GK5a.M2.2_271",1
"GK5a.M2.2_272","GK5a.M2.2_272",1
"GK5a.M2.2_275","GK5a.M2.2_275",1
"GK5a.M2.2_276","GK5a.M2.2_276",2
"GK5a.M2.2_277","GK5a.M2.2_277",6
"GK5a.M2.2_278","GK5a.M2.2_278",4
"GK5a.M2.2_283","GK5a.M2.2_283",4
"GK5a.M2.2_284","GK5a.M2.2_284",19
"GK5a.M2.2_285","GK5a.M2.2_285",5
"GK5a.M2.2_286","GK5a.M2.2_286",15
"GK5a.M2.2_288","GK5a.M2.2_288",1
"GK5a.M2.2_292","GK5a.M2.2_292",1
"GK5a.M2.2_294","GK5a.M2.2_294",1
"GK5a.M2.2_295","GK5a.M2.2_295",1
"GK5a.M2.2_296","GK5a.M2.2_296",1
"GK5a.M2.2_297","GK5a.M2.2_297",1
"GK5a.M2.2_298","GK5a.M2.2_298",1
"GK5a.M2.2_299","GK5a.M2.2_299",6
"GK5a.M2.2_300","GK5a.M2.2_300",3
"GK5a.M2.2_305","GK5a.M2.2_305",14
"GK5a.M2.2_308","GK5a.M2.2_308",1
"GK5a.M2.2_309","GK5a.M2.2_309",2
"GK5a.M2.2_310","GK5a.M2.2_310",6
"GK5a.M2.2_312","GK5a.M2.2_312",12
"GK5a.M2.2_317","GK5a.M2.2_317",2
"GK5a.M2.2_319","GK5a.M2.2_319",5
"GK5a.M2.2_320","GK5a.M2.2_320",5
"GK5a.M2.2_321","GK5a.M2.2_321",6
"GK5a.M2.2_324","GK5a.M2.2_324",7
"GK5a.M2.2_325","GK5a.M2.2_325",1
"GK5a.M2.2_326","GK5a.M2.2_326",6
"GK5a.M2.2_327","GK5a.M2.2_327",7
"GK5a.M2.2_328","GK5a.M2.2_328",1
"GK5a.M2.2_329","GK5a.M2.2_329",5
"GK5a.M2.2_330","GK5a.M2.2_330",5
"GK5a.M2.2_333","GK5a.M2.2_333",5
"GK5a.M2.2_336","GK5a.M2.2_336",1
"GK5a.M2.2_337","GK5a.M2.2_337",5
"GK5a.M2.2_340","GK5a.M2.2_340",1
"GK5a.M2.2_342","GK5a.M2.2_342",2
"GK5a.M2.2_343","GK5a.M2.2_343",1
"GK5a.M2.2_346","GK5a.M2.2_346",1
"GK5a.M2.2_348","GK5a.M2.2_348",5
"GK5a.M2.2_350","GK5a.M2.2_350",8
"GK5a.M2.2_351","GK5a.M2.2_351",1
"GK5a.M2.2_353","GK5a.M2.2_353",3
"GK5a.M2.2_354","GK5a.M2.2_354",8
"GK5a.M2.2_355","GK5a.M2.2_355",3
"GK5a.M2.2_356","GK5a.M2.2_356",6
"GK5a.M2.2_362","GK5a.M2.2_362",5
"GK5a.M2.2_363","GK5a.M2.2_363",1
"GK5a.M2.2_365","GK5a.M2.2_365",1
"GK5a.M2.2_367","GK5a.M2.2_367",1
"GK5a.M2.2_368","GK5a.M2.2_368",1
"GK5a.M2.2_369","GK5a.M2.2_369",4
"GK5a.M2.2_372","GK5a.M2.2_372",5
"GK5a.M2.2_373","GK5a.M2.2_373",13
"GK5a.M2.2_375","GK5a.M2.2_375",5
"GK5a.M2.2_376","GK5a.M2.2_376",5
"GK5a.M2.2_379","GK5a.M2.2_379",4
"GK5a.M2.2_380","GK5a.M2.2_380",1
"GK5a.M2.3_1","GK5a.M2.3_1",1
"GK5a.M2.3_3","GK5a.M2.3_3",1
"GK5a.M2.3_6","GK5a.M2.3_6",3
"GK5a.M2.3_7","GK5a.M2.3_7",5
"GK5a.M2.3_8","GK5a.M2.3_8",14
"GK5a.M2.3_9","GK5a.M2.3_9",10
"GK5a.M2.3_10","GK5a.M2.3_10",7
"GK5a.M2.3_15","GK5a.M2.3_15",1
"GK5a.M2.3_16","GK5a.M2.3_16",3
"GK5a.M2.3_18","GK5a.M2.3_18",3
