"","cell","cluster"
"Gk5b.L_76","Gk5b.L_76",1
"Gk5b.L_77","Gk5b.L_77",5
"Gk5b.L_80","Gk5b.L_80",2
"Gk5b.L_82","Gk5b.L_82",2
"Gk5b.L_87","Gk5b.L_87",1
"Gk5b.L_90","Gk5b.L_90",5
"Gk5b.L_91","Gk5b.L_91",6
"Gk5b.L_93","Gk5b.L_93",5
"Gk5b.L_94","Gk5b.L_94",3
"Gk5b.L_95","Gk5b.L_95",2
"Gk5b.L_97","Gk5b.L_97",6
"Gk5b.L_99","Gk5b.L_99",6
"Gk5b.L_100","Gk5b.L_100",1
"Gk5b.L_104","Gk5b.L_104",1
"Gk5b.L_106","Gk5b.L_106",1
"Gk5b.L_108","Gk5b.L_108",1
"Gk5b.L_109","Gk5b.L_109",6
"Gk5b.L_110","Gk5b.L_110",6
"Gk5b.L_112","Gk5b.L_112",6
"Gk5b.L_115","Gk5b.L_115",1
"Gk5b.L_120","Gk5b.L_120",1
"Gk5b.L_121","Gk5b.L_121",6
"Gk5b.L_123","Gk5b.L_123",6
"Gk5b.L_126","Gk5b.L_126",1
"Gk5b.L_127","Gk5b.L_127",6
"Gk5b.L_135","Gk5b.L_135",2
"Gk5b.L_143","Gk5b.L_143",6
"Gk5b.L_148","Gk5b.L_148",1
"Gk5b.L_153","Gk5b.L_153",5
"Gk5b.L_155","Gk5b.L_155",6
"Gk5b.L_159","Gk5b.L_159",1
"Gk5b.L_162","Gk5b.L_162",1
"Gk5b.L_170","Gk5b.L_170",2
"Gk5b.L_171","Gk5b.L_171",1
"Gk5b.L_179","Gk5b.L_179",6
"Gk5b.L_182","Gk5b.L_182",1
"Gk5b.L_184","Gk5b.L_184",1
"Gk5b.L_188","Gk5b.L_188",1
"Gk5b.L_189","Gk5b.L_189",1
"Gk5b.L_190","Gk5b.L_190",2
"Gk5b.L_197","Gk5b.L_197",16
"Gk5b.L_202","Gk5b.L_202",15
"Gk5b.L_204","Gk5b.L_204",1
"Gk5b.L_209","Gk5b.L_209",6
"Gk5b.L_210","Gk5b.L_210",1
"Gk5b.L_218","Gk5b.L_218",4
"Gk5b.L_219","Gk5b.L_219",1
"Gk5b.L_220","Gk5b.L_220",2
"Gk5b.L_222","Gk5b.L_222",3
"Gk5b.L_223","Gk5b.L_223",1
"Gk5b.L_225","Gk5b.L_225",1
"Gk5b.L_230","Gk5b.L_230",6
"Gk5b.L_231","Gk5b.L_231",6
"Gk5b.L_234","Gk5b.L_234",5
"Gk5b.L_236","Gk5b.L_236",5
"Gk5b.L_242","Gk5b.L_242",6
"Gk5b.L_243","Gk5b.L_243",2
"Gk5b.L_246","Gk5b.L_246",6
"Gk5b.L_247","Gk5b.L_247",6
"Gk5b.L_252","Gk5b.L_252",5
"Gk5b.L_253","Gk5b.L_253",1
"Gk5b.L_254","Gk5b.L_254",6
"Gk5b.L_255","Gk5b.L_255",6
"Gk5b.L_257","Gk5b.L_257",6
"Gk5b.L_260","Gk5b.L_260",6
"Gk5b.L_262","Gk5b.L_262",6
"Gk5b.L_266","Gk5b.L_266",1
"Gk5b.L_267","Gk5b.L_267",2
"Gk5b.L_270","Gk5b.L_270",4
"Gk5b.L_271","Gk5b.L_271",15
"Gk5b.L_272","Gk5b.L_272",2
"Gk5b.L_273","Gk5b.L_273",6
"Gk5b.L_274","Gk5b.L_274",1
"Gk5b.L_275","Gk5b.L_275",2
"Gk5b.L_277","Gk5b.L_277",1
"Gk5b.L_278","Gk5b.L_278",2
"Gk5b.L_280","Gk5b.L_280",2
"Gk5b.L_282","Gk5b.L_282",1
"Gk5b.L_284","Gk5b.L_284",6
"Gk5b.L_286","Gk5b.L_286",3
"Gk5b.L_288","Gk5b.L_288",2
"Gk5b.L_295","Gk5b.L_295",1
"Gk5b.L_297","Gk5b.L_297",2
"Gk5b.L_298","Gk5b.L_298",6
"Gk5b.L_302","Gk5b.L_302",6
"Gk5b.L_303","Gk5b.L_303",1
"Gk5b.L_305","Gk5b.L_305",5
"Gk5b.L_306","Gk5b.L_306",1
"Gk5b.L_308","Gk5b.L_308",5
"Gk5b.L_311","Gk5b.L_311",6
"Gk5b.L_317","Gk5b.L_317",1
"Gk5b.L_318","Gk5b.L_318",3
"Gk5b.L_319","Gk5b.L_319",6
"Gk5b.L_320","Gk5b.L_320",2
"Gk5b.L_321","Gk5b.L_321",5
"Gk5b.L_322","Gk5b.L_322",1
"Gk5b.L_324","Gk5b.L_324",2
"Gk5b.L_325","Gk5b.L_325",5
"Gk5b.L_326","Gk5b.L_326",2
"Gk5b.L_327","Gk5b.L_327",1
"Gk5b.L_329","Gk5b.L_329",2
"Gk5b.L_330","Gk5b.L_330",6
"Gk5b.L_331","Gk5b.L_331",19
"Gk5b.L_333","Gk5b.L_333",1
"Gk5b.L_341","Gk5b.L_341",2
"Gk5b.L_342","Gk5b.L_342",6
"Gk5b.L_349","Gk5b.L_349",1
"Gk5b.L_356","Gk5b.L_356",1
"Gk5b.L_368","Gk5b.L_368",12
"Gk5b.L_369","Gk5b.L_369",1
"Gk5b.L_372","Gk5b.L_372",6
"Gk5b.L_373","Gk5b.L_373",6
"Gk5b.L_375","Gk5b.L_375",1
"Gk5b.L_379","Gk5b.L_379",15
"Gk5b.L_380","Gk5b.L_380",6
